Neighborhood,Art,Breakfast,Building,Business Center,Cafï¿½,Child Care,Church,Education,Entertainment,Grocery,Health,Hotel,Library,Liquer,Market,Movie Theater,Nightlife,Park,Restaurant,Snacks
11th / 12th /14th / 15th  Street,0,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,3,1
14611 N Mopac Expy,0,2,0,0,0,0,0,1,2,0,0,3,3,0,0,1,1,0,6,0
2nd / 4th / 5th / 7th Street,6,1,0,0,4,0,0,1,2,1,3,9,0,6,0,2,9,0,15,0
6th Street,2,0,0,0,4,0,0,0,0,0,1,3,0,9,0,1,7,0,7,0
901 W Braker Ln,1,2,1,0,6,0,0,1,5,1,10,1,4,4,1,0,1,3,14,2
Allandale,3,2,0,0,7,0,0,3,1,0,10,5,5,1,3,1,0,6,29,2
Anderson Mill,2,0,1,0,2,0,0,5,0,0,1,2,0,1,1,0,1,3,10,1
Barton Hills,7,3,1,0,11,0,0,4,7,2,10,14,5,3,2,3,5,5,26,5
Barton Springs,3,2,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,2,2,0
Bee Cave Road,0,0,0,0,4,0,0,0,1,1,5,1,1,1,2,1,1,0,5,1
Brushy Creek,1,1,0,0,2,1,0,4,1,0,3,0,0,0,1,0,0,0,14,1
Buda / Kyle,1,0,0,0,1,0,0,0,2,0,3,3,1,0,3,5,1,1,3,0
Canyon Creek,0,1,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0,1,2,0
Cedar Park,4,4,1,0,3,1,0,3,5,3,12,5,2,2,3,2,2,6,20,1
Cesar Chavez St,0,1,0,0,2,0,0,1,2,0,0,1,1,2,0,0,0,0,8,0
Congress Avenue,4,0,3,0,5,0,0,1,3,0,2,8,2,2,0,2,1,0,7,2
Downtown,18,1,0,0,12,0,0,4,16,2,6,13,9,6,2,3,6,14,18,3
Dripping Springs,0,0,0,0,1,0,0,0,1,1,1,2,1,1,0,0,1,2,1,0
East Riverside-Oltorf,1,1,2,0,3,0,0,2,4,0,4,6,2,0,1,3,3,1,9,0
Easton Park,0,1,0,1,1,0,0,0,1,0,1,2,0,1,0,0,2,1,1,1
Hancock,11,0,2,0,2,0,0,11,8,2,10,4,6,0,1,0,2,2,10,3
Hudson Bend,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Lakeway,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,2,3,0
Lamar Boulevard,1,2,0,0,0,0,0,0,1,2,2,1,0,4,1,1,1,1,15,2
Lavaca Street,1,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,4,0
Leander,1,1,0,0,0,0,0,2,1,0,1,0,1,0,1,0,1,5,2,1
Louis Henna Blvd,0,2,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,4,0
Manchaca,2,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0
Manor,0,0,0,0,1,0,0,1,2,0,0,2,0,0,1,1,0,2,1,0
Moores Crossing,1,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,1,0,4,1
Mueller,0,3,0,0,3,0,0,4,3,1,2,2,2,3,2,1,1,2,8,3
Northwest Hills,3,2,0,0,4,0,0,4,0,3,4,5,1,1,4,2,2,2,15,3
Oak Hill,3,3,0,0,6,2,1,5,5,0,7,6,4,2,4,4,2,3,24,3
Palm Valley,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,5,0
Pflugerville,1,1,0,0,6,0,0,0,4,1,2,1,2,0,3,1,0,5,4,1
Red River St,1,0,0,0,2,0,0,0,1,0,0,1,0,4,0,0,1,0,2,0
Round Rock,6,2,1,0,14,1,0,9,7,1,15,5,6,3,1,4,5,3,22,2
St. Johns,3,1,0,0,0,0,0,1,1,0,1,0,2,2,0,2,2,1,12,1
The University Of Texas,5,0,0,0,0,0,0,12,15,0,9,0,12,0,0,2,0,0,0,0
University Oaks Blvd,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0
W Howard Ln,0,2,1,0,4,2,0,1,0,0,2,0,2,0,1,0,0,2,11,0
Westgate,1,1,0,0,1,0,0,3,0,0,5,3,3,3,2,2,2,2,11,3
Windsor Hills,1,2,0,0,0,0,0,2,0,0,2,4,2,1,3,0,2,2,18,1
