Neighborhood,Food,GroceryStores,Library,Market,Nightlife,Other,Park,School,Theatre
Adugodi,1,2,0,1,0,0,0,0,1
Agara,2,0,1,1,1,0,0,1,1
Amrutha College Road,0,0,0,1,0,0,0,0,0
Amruthahalli,1,0,0,0,0,0,0,2,0
Arabic College,0,1,1,0,0,0,0,0,0
Attur,0,1,0,0,0,0,1,0,1
Austin Town,0,1,0,0,0,0,0,0,0
B Sk II Stage,0,0,0,0,0,1,0,0,0
BENSON TOWN,1,0,0,0,0,0,0,0,0
Banashankari III Stage,1,0,0,0,0,0,0,0,0
Banaswadi,1,0,0,2,0,0,0,0,0
Bangalore,5,1,0,2,1,1,1,0,0
Bangalore Central,0,0,0,0,0,0,0,0,1
Bangalore International Airport,1,0,0,0,0,0,0,0,0
Bannerghatta Road,2,3,0,2,1,0,1,0,4
Basavanagudi,2,0,0,1,0,1,1,0,0
Basaveshwaranagar,0,1,1,0,0,0,0,0,0
Basweshwarnagar,0,0,0,0,0,0,1,0,0
Begur,0,1,0,0,0,0,0,0,2
Bellandur,3,0,0,1,0,1,0,0,0
Bellary Road,1,0,0,0,1,0,0,0,0
Benson Town,1,2,0,0,0,0,0,0,0
Bsk 3rd Stage,0,0,0,1,0,0,0,0,0
C.V.Raman Nagar,0,0,1,0,0,0,0,1,0
CMP Centre And School,3,2,0,0,0,0,1,0,2
Carmelram,3,0,0,0,0,0,0,1,0
Chickpet,0,2,0,0,0,0,0,0,0
Chikkabettahalli,0,0,1,0,0,0,0,0,0
Chikkalasandra,1,0,0,1,0,0,1,0,1
Cholanagar,0,0,0,0,0,0,1,0,0
Chudenapura,1,0,0,0,0,0,0,0,0
D Rajgopal Rd,0,0,1,0,0,0,0,0,0
Devanagundi,1,1,0,0,1,0,0,0,0
Devasandra,0,0,0,0,0,1,0,0,0
Dewan Madhawa Rao Rd.,0,0,0,0,0,0,1,0,0
Dharmaram College,0,1,0,0,0,0,0,0,1
Dodda Aalada Mara,0,0,0,0,0,0,1,0,0
Doddagubbi,1,1,0,0,0,0,0,2,1
Doddanekkundi,0,0,0,0,0,0,0,1,0
Dollars Colony,0,0,0,0,0,0,1,0,0
Domlur,0,0,1,0,0,0,1,0,0
Dommasandra,0,1,0,0,0,0,0,1,0
Doorvaninagar,0,0,0,0,0,0,0,1,0
EPIP,0,1,2,0,0,0,1,1,1
Forum Mall,0,0,0,0,0,0,0,0,1
Fraser Town,1,1,0,1,0,1,0,1,0
Frazer Town,1,0,0,0,0,0,0,0,0
G.K.V.K.,0,2,0,0,1,0,0,0,1
Gandhi Nagar,0,0,0,0,0,0,0,0,1
Girinagar,0,0,0,0,0,0,1,0,0
Gunjur,0,0,0,0,0,0,0,1,0
H.A.L II Stage,4,1,0,0,1,0,1,0,0
H.K.P. Road,0,0,0,0,0,0,1,0,0
HSR,2,2,0,0,0,1,1,2,0
Hall Road,0,0,0,0,0,0,1,0,0
Hoodi,1,3,0,0,0,0,0,0,1
Hosakote,1,0,0,0,0,0,0,0,0
Hosur Rd,1,0,0,0,0,0,0,0,0
ISRO Anthariksha Bhavan,0,2,0,0,0,0,0,0,0
Ideal Homes Township,0,1,0,0,0,0,0,0,0
Indira Nagar,0,0,1,0,0,0,0,0,0
Indiranagar,1,1,0,0,0,0,1,0,0
Industrial,0,0,1,0,0,0,0,0,1
J P Nagar,4,2,0,0,1,0,0,0,1
Jalahalli West,0,0,0,0,0,0,1,0,0
Jayamahal,0,0,0,0,0,0,1,0,0
Jayanagar,0,0,1,0,1,0,0,0,1
Jayangar III Block,1,3,0,0,0,0,2,0,0
Kalyan Nagar,0,0,1,0,0,0,0,0,0
Kanakanagar,0,1,2,1,0,0,0,0,0
Kanakpura Road,1,0,0,0,0,0,0,0,0
Kathriguppe,0,0,0,0,0,0,1,0,0
Kempegowda International Airport,1,0,0,0,0,0,0,0,0
Kenchanahalli,2,1,1,0,0,0,0,0,1
Kengeri Satellite Town,0,1,0,0,0,0,0,0,0
Koramangala,0,0,0,0,0,0,1,0,0
Koramangala VI Bk,5,1,1,0,0,0,0,0,0
Lavelle Road,0,0,0,1,0,0,0,0,0
M G Road,0,0,0,0,0,0,1,0,0
MG Road,0,1,0,0,0,0,0,0,0
Magadi Road,0,0,1,0,0,0,0,0,0
Mahalakshmipuram,0,0,0,0,0,0,1,0,0
Malleswaram,0,1,1,0,0,0,0,1,0
Malleswaram West,0,1,0,1,0,0,0,0,0
Mathikere,0,0,0,0,0,0,0,0,1
Mount Literature Zee School,0,0,0,0,0,0,0,1,0
Nagarbhavi,0,0,0,1,0,0,1,0,0
Nagawara,0,0,0,0,0,0,1,0,0
Nandhi Layout,0,0,1,0,0,0,0,0,0
Queens Road,0,0,1,0,0,0,0,0,0
R.T.Nagar,0,1,0,0,0,0,0,0,0
Rajarajeshwari Nagar,0,1,0,0,0,0,0,0,0
Richmond Town,0,0,0,0,1,0,0,0,0
Royal placid,0,0,0,0,0,0,0,1,0
Rt nagar,0,0,0,0,0,0,0,0,1
Sadashivanagar,1,0,0,0,0,0,0,0,0
Sahakara Nagar,0,2,0,0,0,0,0,0,0
Sampangirama Nagar,0,0,0,0,0,0,0,1,0
Sampangiramnagar,1,0,0,0,0,0,0,0,1
Sampige Road,0,0,2,0,0,0,0,0,0
Sarjapur,0,0,0,0,0,0,0,1,0
Sarjapur Rd,0,0,1,0,0,0,0,0,0
Sarjapur Road,0,0,0,0,0,0,0,1,0
Sarjapura Road,0,1,0,0,0,0,0,0,0
Seshadripuram,1,0,0,1,0,0,0,0,0
Shankarnag Circle,0,0,0,0,0,0,1,0,0
Sivan Chetty Gardens,0,1,0,1,0,0,0,0,0
Soul Space Arena,0,0,0,0,0,0,0,0,1
St. Johns Church Road,0,0,0,0,0,0,1,0,0
Sultanpalya,0,1,0,0,0,0,0,0,0
"T Dasarahalli,",0,0,0,0,0,0,0,0,1
T.C Palya,0,0,0,0,0,1,0,0,0
Vaishnavi Saffire Mall,0,0,0,0,0,0,0,0,1
Vasanthapura main road,0,0,0,0,0,0,0,0,1
VishwaShantiNagar,0,0,0,0,0,0,0,1,0
Vital Mallya Road,0,0,0,1,0,0,0,0,0
Whitefield,1,1,0,0,0,0,0,0,0
Windsor Manor,0,0,0,0,1,0,0,0,0
Yelahanka,0,0,0,0,0,0,0,1,0
cubbon park,0,0,0,0,0,0,1,0,0
kasavanahalli,0,1,0,0,0,0,0,0,0
santrupthi nagar,1,0,0,0,0,0,0,0,0
wilson garden 9th cross,0,0,0,0,0,0,1,0,0
